,Facility,Degrees,Clustering Coefficient,Betweeness,Closeness,Eigenvector,tri_facility_id,primary_naics,parent_company_name,Chemicals
49,IBM CORP,236,0.264442841688,0.0606448182409,0.728712871287,0.0560006096062,12602BMCRPSOUTH,334111,IBM CORP,"['AMMONIA', 'COPPER COMPOUNDS', 'ETHYLENE GLYCOL', 'FLUORINE', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD', 'METHANOL', 'METHYL ISOBUTYL KETONE', 'N-METHYL-2-PYRROLIDONE', 'NITRIC ACID', 'OZONE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
48,IBM CORP,236,0.264442841688,0.0606448182409,0.728712871287,0.0560006096062,12533BM   EASTF,334413,IBM CORP,"['AMMONIA', 'COPPER COMPOUNDS', 'ETHYLENE GLYCOL', 'FLUORINE', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD', 'METHANOL', 'METHYL ISOBUTYL KETONE', 'N-METHYL-2-PYRROLIDONE', 'NITRIC ACID', 'OZONE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""']"
248,EASTMAN KODAK CO EASTMAN BUSINESS PARK,228,0.284218254888,0.0587865081172,0.717348927875,0.123391247381,14652STMNK1669L,325992,EASTMAN KODAK CO,"['ACETONITRILE', 'AMMONIA', 'ANILINE', 'BARIUM COMPOUNDS', 'BUTYL ACRYLATE', 'DICHLOROMETHANE', 'DIMETHYLAMINE', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'ETHYLENE GLYCOL', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD COMPOUNDS', 'MERCURY COMPOUNDS', 'METHANOL', 'N,N-DIMETHYLFORMAMIDE', 'N-BUTYL ALCOHOL', 'POLYCYCLIC AROMATIC COMPOUNDS', 'PYRIDINE', 'SILVER COMPOUNDS', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""', 'TOLUENE', 'TRIETHYLAMINE', 'XYLENE (MIXED ISOMERS)']"
200,NORLITE LLC,225,0.243293650794,0.106509704089,0.720156555773,0.211257158203,12047NRLTC628SO,327992,TRADEBE ENVIRONMENTAL SERVICES LLC,"['1,1,1-TRICHLOROETHANE', '1,1,2,2-TETRACHLOROETHANE', '1,2,4-TRIMETHYLBENZENE', '1,2-DIBROMOETHANE', '1,2-DICHLOROETHANE', '1,2-DICHLOROPROPANE', '1,4-DICHLOROBENZENE', 'ABAMECTIN', 'ACETALDEHYDE', 'ACETONITRILE', 'ACETOPHENONE', 'ACIFLUORFEN, SODIUM SALT', 'ACRYLAMIDE', 'ANILINE', 'ARSENIC', 'BENZENE', 'CARBON TETRACHLORIDE', 'CERTAIN GLYCOL ETHERS', 'CHLOROBENZENE', 'CHLOROFORM', 'COPPER', 'CRESOL (MIXED ISOMERS)', 'CUMENE', 'CYCLOHEXANE', 'DIBUTYL PHTHALATE', 'DICHLOROMETHANE', 'DIMETHYL SULFATE', 'ETHYLBENZENE', 'ETHYLENE', 'ETHYLENE GLYCOL', 'ETHYLIDENE DICHLORIDE', 'FORMALDEHYDE', 'FREON 113', 'HEXACHLOROBENZENE', 'LEAD', 'M-CRESOL', 'METHANOL', 'METHYL ISOBUTYL KETONE', 'METHYL METHACRYLATE', 'METHYL TERT-BUTYL ETHER', 'N,N-DIMETHYLFORMAMIDE', 'N-BUTYL ALCOHOL', 'N-HEXANE', 'N-METHYL-2-PYRROLIDONE', 'NAPHTHALENE', 'NICKEL', 'NITROBENZENE', 'O-TOLUIDINE', 'O-XYLENE', 'P-CRESOL', 'PHENOL', 'PROPARGYL ALCOHOL', 'PYRIDINE', 'STYRENE', 'TETRACHLOROETHYLENE', 'TOLUENE', 'TRICHLOROETHYLENE', 'TRIETHYLAMINE', 'XYLENE (MIXED ISOMERS)']"
32,ALCOA INC,193,0.332037996546,0.0510802778193,0.667876588022,0.0545403967911,13662LMNMCPARKA,331313,ALCOA INC,"['BENZO(G,H,I)PERYLENE', 'CARBONYL SULFIDE', 'CHLORINE', 'CHROMIUM', 'COPPER', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'HYDROGEN FLUORIDE', 'LEAD', 'MANGANESE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
202,BUCKEYE TERMINALS LLC - RENSSELAER TERMINAL,188,0.399931732848,0.0468020286601,0.666666666667,0.19644217698,12144MRDHS367AM,493190,BUCKEYE TERMINALS LLC,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'ETHYLBENZENE', 'LEAD', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
262,MPM SILICONES LLC,179,0.322453078903,0.0458872308001,0.653641207815,0.109819706443,12188GNRLL260HU,325211,MOMENTIVE PERFORMANCE MATERIALS HOLDINGS LLC,"['AMMONIA', 'CHLORINE', 'CHLOROETHANE', 'CHLOROMETHANE', 'COPPER COMPOUNDS', 'ETHYLBENZENE', 'ETHYLENE', 'HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)""', 'LEAD COMPOUNDS', 'MERCURY COMPOUNDS', 'METHANOL', 'SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""', 'TOLUENE', 'XYLENE (MIXED ISOMERS)', 'ZINC COMPOUNDS']"
4,INTERNATIONAL PAPER,178,0.336380371993,0.0421530308791,0.651327433628,0.0651826207514,12883NTRNTSHORE,322121,INTERNATIONAL PAPER CO,"['ACETALDEHYDE', 'AMMONIA', 'BENZO(G,H,I)PERYLENE', 'CHLORINE', 'CHLORINE DIOXIDE', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'FORMALDEHYDE', 'HYDROGEN SULFIDE', 'LEAD COMPOUNDS', 'MANGANESE COMPOUNDS', 'METHANOL', 'PHENOL', 'POLYCYCLIC AROMATIC COMPOUNDS', 'ZINC COMPOUNDS']"
361,NORTHVILLE INDUSTRIES CORP - SETAUKET TERMINAL,167,0.437125748503,0.0299023697906,0.64,0.192471591801,11733NRTHV19TER,424710,NIC HOLDING CORP,"['1,2,4-TRIMETHYLBENZENE', 'BENZENE', 'CYCLOHEXANE', 'ETHYLBENZENE', 'LEAD COMPOUNDS', 'N-HEXANE', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
131,FINCH PAPER  LLC,164,0.378497680682,0.0326862123339,0.632302405498,0.0563844643178,12801FNCHP1GLEN,322121,FINCH PAPER HOLDINGS,"['AMMONIA', 'BENZO(G,H,I)PERYLENE', 'CHLORINE', 'CHLORINE DIOXIDE', 'DIOXIN AND DIOXIN-LIKE COMPOUNDS', 'LEAD COMPOUNDS', 'MANGANESE COMPOUNDS', 'METHANOL', 'POLYCYCLIC AROMATIC COMPOUNDS']"
314,TONAWANDA COKE CORP,162,0.451192393221,0.0278018613836,0.634482758621,0.136322550329,14150TNWND3875R,324199,,"['ANTHRACENE', 'BENZENE', 'BENZO(G,H,I)PERYLENE', 'LEAD COMPOUNDS', 'NAPHTHALENE', 'PHENANTHRENE', 'POLYCYCLIC AROMATIC COMPOUNDS', 'TOLUENE', 'XYLENE (MIXED ISOMERS)']"
303,BUCKEYE TERMINALS LLC - BROOKLYN TERMINAL,155,0.457729367407,0.0332790052021,0.627986348123,0.0814036897596,11231MRDHS722CT,493190,BUCKEYE TERMINALS LLC,"['1,2,4-TRIMETHYLBENZENE', 'BENZO(G,H,I)PERYLENE', 'LEAD', 'NAPHTHALENE', 'POLYCYCLIC AROMATIC COMPOUNDS']"
365,ROCKTENN - SOLVAY LLC,152,0.450679679331,0.028064985759,0.618487394958,0.0341560742943,13209SLVYP53IND,322130,ROCK-TENN CO,"['HYDROGEN SULFIDE', 'LEAD', 'MERCURY', 'METHANOL', 'POLYCYCLIC AROMATIC COMPOUNDS']"
